,"Jan 25","Feb 25","Mar 25","Apr 25","May 25","Jun 25","Jul 25","Aug 25","Sep 25","Oct 25","Nov 25","Dec 25","TOTAL"
"A & E INTERNATIONAL TRADING CORP",0.00,0.00,0.00,894.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,894.60
"A Plus",0.00,0.00,0.00,0.00,0.00,10324.76,0.00,0.00,0.00,0.00,0.00,5324.54,15649.30
"AAA Electrical Supply",0.00,0.00,5016.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5016.67
"AAF International",16181.76,7697.98,957.33,3168.58,148.98,0.00,2383.68,7473.35,0.00,0.00,72.40,0.00,38084.06
"Aaron Quil",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,622.56,622.56
"ABB Optical Group",0.00,0.00,0.00,0.00,0.00,995.18,0.00,0.00,0.00,0.00,0.00,0.00,995.18
"ABM Building Value",0.00,0.00,1026.39,0.00,0.00,831.36,0.00,0.00,0.00,0.00,0.00,0.00,1857.75
"AC Mechanical",0.00,0.00,0.00,811.20,0.00,0.00,0.00,723.42,0.00,0.00,0.00,0.00,1534.62
"Acciona Energy USA Global LLC",0.00,16410.47,11688.18,11570.80,3665.28,0.00,12602.43,0.00,3886.08,12732.21,1334.44,10790.95,84680.84
"ACCO Engineered Services",7522.36,0.00,654.25,0.00,901.80,0.00,0.00,2288.91,2196.00,0.00,0.00,0.00,13563.32
"Accord Federal Services, LLC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4264.49,4264.49
"ACT Power Services, LLC",0.00,0.00,0.00,0.00,0.00,0.00,9066.83,0.00,0.00,0.00,0.00,0.00,9066.83
"Action Duct",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1007.73,0.00,0.00,0.00,0.00,1007.73
"Adventist Health Simi Valley",3908.13,0.00,0.00,4732.36,2049.27,4606.04,6024.65,4089.10,4606.04,4118.12,4655.54,4606.04,43395.29
"Adventist Health Twin Cities",2621.70,0.00,0.00,2472.82,0.00,7934.57,0.00,0.00,464.05,0.00,1655.21,0.00,15148.35
"AECOM",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,162.23,162.23
"Aero Chrome Plating",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1092.08,0.00,0.00,794.36,0.00,1886.44
"Aerojet RocketDyne",4111.68,2924.87,7619.56,1360.00,857.59,3313.52,6262.29,4032.14,2695.00,0.00,4062.82,45165.17,82404.64
"Air and Lube Systems Inc",0.00,0.00,216.20,0.00,431.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,647.20
"Air Filter Plus",0.00,0.00,0.00,0.00,0.00,0.00,3329.54,0.00,0.00,0.00,0.00,0.00,3329.54
"Air Filter Superstore Wholsale, LLC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1225.37,0.00,0.00,0.00,0.00,1225.37
"Air Filter Supply",16056.56,16995.73,6739.26,32575.10,40597.03,39979.01,45612.02,34587.89,59115.86,81858.11,66881.73,60909.69,501907.99
"Air Filters Northwest",47305.92,0.00,0.00,706.05,0.00,0.00,0.00,2257.56,6230.40,5316.86,8129.78,0.00,69946.57
"Air Filtration Solutions",17965.61,0.00,1348.60,0.00,7782.80,5475.26,1576.09,13058.48,0.00,2096.05,0.00,866.55,50169.44
"Air Temperature  Control",0.00,0.00,0.00,2635.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2635.50
"Algonquin Power LLC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1227.20,0.00,1227.20
"Alhambra Hospital Medical Center",1126.55,1152.44,9058.02,0.00,0.00,0.00,0.00,0.00,0.00,1724.42,0.00,0.00,13061.43
"Alliance Environmental Group, LLC.",0.00,0.00,0.00,0.00,1855.28,0.00,0.00,0.00,0.00,0.00,503.27,2620.98,4979.53
"Alliance Equipment",0.00,0.00,0.00,1608.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1608.00
"Allison Mechanical, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,470.80,470.80
"Alpha Tau Medical Inc",0.00,0.00,0.00,0.00,0.00,0.00,456.00,0.00,0.00,0.00,0.00,0.00,456.00
"Amazon - LAS1-IXD",5211.98,4322.25,11479.71,6219.74,8866.38,11428.85,6514.58,2449.00,1934.18,15069.07,4868.28,8679.78,87043.80
"American Air Balance Co, Inc.",0.00,2907.36,3218.74,5080.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11206.26
"AMI Filtration",12816.50,0.00,0.00,6234.72,0.00,1647.36,0.00,9755.84,210.64,1881.94,0.00,0.00,32547.00
"Anaheim Union High School District",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Antelope Valley Union School District",4859.38,14880.55,7942.38,0.00,13584.67,3799.47,8140.46,4215.35,0.00,8100.68,4797.41,0.00,70320.35
"Applied Air Filters",0.00,0.00,6965.22,0.00,0.00,0.00,12435.20,0.00,0.00,0.00,0.00,0.00,19400.42
"Applied Industrial Technologies",0.00,0.00,0.00,465.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,465.00
"APS-Arizona Public Service",1232.00,1584.00,0.00,0.00,1903.44,0.00,0.00,0.00,6784.00,0.00,0.00,0.00,11503.44
"ARC Boats",0.00,0.00,1421.46,0.00,0.00,0.00,0.00,0.00,1446.20,0.00,0.00,0.00,2867.66
"Arise Hospitality Solutions",3058.64,0.00,0.00,0.00,0.00,0.00,1616.72,0.00,226.04,426.12,0.00,0.00,5327.52
"Aspire Bakeries, LLC",0.00,3636.40,0.00,17274.30,0.00,3538.40,0.00,1653.52,0.00,1653.52,0.00,0.00,27756.14
"Astro Aluminum Treating Co, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,655.00,0.00,0.00,0.00,0.00,956.60,1611.60
"Avanti Industries, LLC.",0.00,0.00,0.00,0.00,0.00,0.00,4035.25,0.00,0.00,0.00,0.00,0.00,4035.25
"Avocet Aviation Services, LLC",0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,365.00,0.00,0.00,0.00,450.00
"B. Braun Medical, Inc.",0.00,4751.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4751.15
"BAE Systems",0.00,0.00,0.00,0.00,9536.67,0.00,0.00,0.00,0.00,31324.25,0.00,0.00,40860.92
"Baker Electric",0.00,0.00,0.00,0.00,1372.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1372.80
"Baker Hughes",223.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,223.52
"Bay City Industrial Supply",0.00,0.00,0.00,0.00,0.00,1278.95,0.00,0.00,0.00,5494.88,0.00,0.00,6773.83
"BC Air Filter Ltd. Group of Companies",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1724.84,0.00,0.00,1724.84
"Beck Electric Supply-LB",0.00,0.00,0.00,0.00,1481.00,0.00,0.00,0.00,0.00,0.00,1481.00,0.00,2962.00
"Bellflower Unified School District",0.00,34580.31,0.00,0.00,34580.31,0.00,0.00,28933.22,4887.70,0.00,0.00,-3418.80,99562.74
"Bennett-Bowen Lighthouse",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
