,"Jan 23","Feb 23","Mar 23","Apr 23","May 23","Jun 23","Jul 23","Aug 23","Sep 23","Oct 23","Nov 23","Dec 23","TOTAL"
"AAF/Flanders Corporation",27369.34,0.00,11616.96,0.00,1899.92,0.00,0.00,3822.80,4139.39,1820.00,0.00,0.00,50668.41
"Aeolus Corporation",601.39,0.00,0.00,0.00,0.00,0.00,7060.92,0.00,0.00,0.00,0.00,0.00,7662.31
"Air Rite Service Supply, Inc",0.00,0.00,5368.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5368.10
"Aircon Filter Mfg. Co., Inc.",187.00,280.00,1787.00,300.00,0.00,0.00,493.75,631.00,800.00,1393.75,839.00,820.50,7532.00
"AirFlotek",0.00,3675.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3675.00
"American Air Balance Co., Inc.",0.00,0.00,0.00,2582.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2582.90
"American Metal Filter Company",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,127.72,0.00,0.00,127.72
"American Nonwoven, Inc. / VFT INC.",7987.75,4068.44,11078.04,6879.74,7059.58,4294.34,4998.57,9742.84,3397.70,6084.34,4471.24,5109.10,75171.68
"AMI Filtration Products, Inc.",2877.00,0.00,1893.48,630.00,2853.48,0.00,0.00,1560.00,0.00,420.00,378.00,0.00,10611.96
"Automated Solutions",0.00,0.00,0.00,0.00,0.00,0.00,0.00,4099.81,0.00,0.00,0.00,0.00,4099.81
"Blocksom & Co.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2110.50,0.00,0.00,2110.50
"Boll Filter Corporation",0.00,0.00,0.00,0.00,18786.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18786.60
"Brentwood Industries",0.00,0.00,19837.30,23970.24,0.00,0.00,0.00,0.00,0.00,0.00,19573.44,0.00,63380.98
"Caldwell Gasket",0.00,0.00,0.00,7956.00,0.00,0.00,0.00,0.00,0.00,14066.70,0.00,0.00,22022.70
"Camfill USA INC",0.00,0.00,0.00,0.00,1983.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1983.80
"Candela Corporation",0.00,0.00,0.00,443.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,443.80
"CEPA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6777.00,0.00,0.00,6777.00
"Clear Solutions, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3115.00,0.00,0.00,0.00,3115.00
"CNC, LLC",4775.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4775.00
"Columbus Industries, Inc.",7188.00,0.00,10436.98,8756.26,22734.84,4518.23,15813.60,605.45,4265.21,8997.94,0.00,2738.04,86054.55
